"λ,n (nm)",n,"λ,k (nm)",k,α (cm⁻¹),Reference,Details
658,1.48899281,658,1.89259e-7,0.03614435769153499,,
659,1.48902392,659,1.82543e-7,0.034808846601774905,,
660,1.48878312,660,1.68769e-7,0.032133542457799744,,
661,1.48942888,661,1.62888e-7,0.030966883156304647,,
662,1.4889853,662,1.77078e-7,0.033613712623104135,,
663,1.48946488,663,1.89911e-7,0.03599535459643386,,
664,1.48910272,664,1.69717e-7,0.03211937833670476,,
665,1.488987,665,1.82175e-7,0.03442524160407341,,
666,1.48952281,666,1.87041e-7,0.035291689580786094,,
667,1.48896945,667,1.59917e-7,0.030128580053020625,,
668,1.48930323,668,1.9757e-7,0.03716673416585242,,
669,1.4893533,669,1.82753e-7,0.03432798099979046,,
670,1.48906159,670,1.71125e-7,0.03209582345346587,,
671,1.48919559,671,1.70735e-7,0.031974952113898863,,
672,1.48883641,672,1.57685e-7,0.029487026046506343,,
673,1.48893082,673,1.60098e-7,0.029893771212744055,,
674,1.4894979,674,1.87826e-7,0.03501915618713095,,
675,1.489312,675,1.70173e-7,0.03168084424529398,,
676,1.48890042,676,1.363e-7,0.025337223590786318,,
677,1.48887908,677,1.80464e-7,0.03349745209083772,,
678,1.48917878,678,1.51983e-7,0.028169243437789825,,
679,1.48894715,679,1.63023e-7,0.03017094899358874,,
680,1.48860753,680,1.75646e-7,0.032459304896025463,,
681,1.489032,681,1.76672e-7,0.03260096665462649,,
682,1.48901343,682,1.71924e-7,0.031678309406203614,,
683,1.48824131,683,1.64858e-7,0.03033187008407064,,
684,1.488824,684,1.58829e-7,0.029179884185790254,,
685,1.48872423,685,1.27944e-7,0.02347141199830029,,
686,1.48879433,686,1.68124e-7,0.03079749990041577,,
687,1.488202,687,1.58793e-7,0.029045876113041283,,
688,1.488741,688,1.62294e-7,0.029643118495447793,,
689,1.48860872,689,1.78666e-7,0.032586112803847544,,
690,1.48815084,690,1.57128e-7,0.028616357708594612,,
691,1.4889679,691,1.45658e-7,0.026489036337862926,,
692,1.48891807,692,1.71167e-7,0.03108306299057827,,
693,1.48868132,693,1.59427e-7,0.02890936173067013,,
694,1.48889983,694,1.59575e-7,0.02889450419000526,,
695,1.48865747,695,1.60645e-7,0.029046397227967327,,
696,1.48867071,696,1.35103e-7,0.0243930225447093,,
697,1.48844969,697,1.40152e-7,0.025268321009234814,,
698,1.4884454,698,1.50083e-7,0.027020037262390655,,
699,1.48773909,699,1.28641e-7,0.02312661634051185,,
700,1.48831058,700,1.32336e-7,0.023756903166026223,,
701,1.48795021,701,1.24513e-7,0.02232063486884028,,
702,1.48853683,702,1.51164e-7,0.027059584722920083,,
703,1.48821068,703,1.69162e-7,0.030238298518722992,,
704,1.48843586,704,1.27415e-7,0.022743524315746787,,
705,1.48873866,705,1.50148e-7,0.02676333921992626,,
